from_stop_id,to_stop_id,transfer_type,min_transfer_time
5710055,2535,2,257
3812964,2466,2,285
2033,4211799,2,232
2367,4472983,2,190
2367,4472982,2,241
2208,3666725,2,203
2208,3666724,2,198
1968,1855,2,120
1729,3687426,2,215
2535,4036853,2,245
2502,4036879,2,230
2535,4036852,2,225
1824,4037037,2,216
1735,4889620,2,243
2219,4439500,2,269
5710003,1742,2,204
1653,1845,2,91
2212,2235,2,420
1824,4726763,2,254
2219,1166834,2,180
4028974,5138206,2,206
3807584,1733,2,220
3765206,2312,2,209
2219,1166835,2,180
2040,5138050,2,277
5682061,2219,2,238
1824,4726761,2,238
3807629,2374,2,222
1824,4726762,2,251
4726733,2411,2,229
4028974,5138207,2,207
